task,variant,tool_calls_vs_baseline,tool_calls_vs_bounded,wall_clock_vs_baseline,wall_clock_vs_bounded,lines_added_vs_baseline,lines_added_vs_bounded
slugify,baseline,1.00×,0.80×,1.00×,0.46×,1.00×,1.00×
slugify,bounded_efficiency,1.25×,1.00×,2.15×,1.00×,1.00×,1.00×
slugify,multiple_approaches,1.62×,1.30×,5.31×,2.46×,2.90×,2.90×
slugify,deep_thinking,2.12×,1.70×,7.46×,3.46×,4.20×,4.20×
slugify,exhaustive_exploration,1.50×,1.20×,3.62×,1.68×,1.20×,1.20×
slugify,max_certainty,4.12×,3.30×,8.08×,3.75×,4.20×,4.20×
csv_parser,baseline,1.00×,0.70×,1.00×,0.89×,1.00×,1.88×
csv_parser,bounded_efficiency,1.43×,1.00×,1.12×,1.00×,0.53×,1.00×
csv_parser,multiple_approaches,1.57×,1.10×,1.31×,1.17×,0.73×,1.38×
csv_parser,deep_thinking,2.14×,1.50×,1.66×,1.47×,2.30×,4.32×
csv_parser,exhaustive_exploration,1.71×,1.20×,1.41×,1.25×,1.09×,2.04×
csv_parser,max_certainty,6.00×,4.20×,2.34×,2.08×,1.64×,3.08×
rate_limiter,baseline,1.00×,0.70×,1.00×,0.93×,1.00×,1.25×
rate_limiter,bounded_efficiency,1.43×,1.00×,1.08×,1.00×,0.80×,1.00×
rate_limiter,multiple_approaches,1.86×,1.30×,2.72×,2.52×,1.10×,1.38×
rate_limiter,deep_thinking,2.00×,1.40×,1.68×,1.56×,1.18×,1.48×
rate_limiter,exhaustive_exploration,2.00×,1.40×,1.96×,1.81×,0.97×,1.21×
rate_limiter,max_certainty,6.57×,4.60×,2.88×,2.67×,1.20×,1.50×
