task,variant,n_trials,tool_calls_mean,tool_calls_std,lines_added_mean,lines_added_std,impl_loc_mean,impl_loc_std,test_runs_mean,test_runs_std,wall_clock_mean,wall_clock_std,success_mean
slugify,baseline,2,4.0,1.4,5.0,0.0,6.0,0.0,1.5,0.7,6.5,6.4,8.0
slugify,bounded_efficiency,2,5.0,0.0,5.0,0.0,8.5,2.1,1.0,0.0,14.0,0.0,8.0
slugify,multiple_approaches,2,6.5,0.7,14.5,4.9,14.5,2.1,1.5,0.7,34.5,14.8,8.0
slugify,deep_thinking,2,8.5,0.7,21.0,1.4,18.5,0.7,1.0,0.0,48.5,21.9,8.0
slugify,exhaustive_exploration,2,6.0,0.0,6.0,0.0,8.0,0.0,1.5,0.7,23.5,7.8,8.0
slugify,max_certainty,2,16.5,2.1,21.0,0.0,23.0,0.0,2.0,0.0,52.5,37.5,8.0
csv_parser,baseline,2,3.5,0.7,47.0,0.0,41.0,0.0,1.0,0.0,16.0,2.8,8.0
csv_parser,bounded_efficiency,2,5.0,0.0,25.0,0.0,23.0,1.4,1.0,0.0,18.0,2.8,8.0
csv_parser,multiple_approaches,2,5.5,0.7,34.5,0.7,36.0,2.8,1.0,0.0,21.0,5.7,8.0
csv_parser,deep_thinking,2,7.5,0.7,108.0,14.1,89.5,4.9,1.0,0.0,26.5,17.7,8.0
csv_parser,exhaustive_exploration,2,6.0,0.0,51.0,0.0,42.0,0.0,1.0,0.0,22.5,4.9,8.0
csv_parser,max_certainty,2,21.0,2.8,77.0,0.0,76.0,0.0,2.0,0.0,37.5,17.7,8.0
rate_limiter,baseline,2,3.5,0.7,30.0,0.0,30.0,0.0,1.0,0.0,12.5,2.1,9.0
rate_limiter,bounded_efficiency,2,5.0,0.0,24.0,0.0,23.5,0.7,1.0,0.0,13.5,0.7,9.0
rate_limiter,multiple_approaches,2,6.5,0.7,33.0,5.7,39.0,7.1,1.5,0.7,34.0,12.7,9.0
rate_limiter,deep_thinking,2,7.0,0.0,35.5,0.7,37.5,0.7,1.0,0.0,21.0,12.7,9.0
rate_limiter,exhaustive_exploration,2,7.0,0.0,29.0,0.0,29.0,0.0,1.5,0.7,24.5,4.9,9.0
rate_limiter,max_certainty,2,23.0,2.8,36.0,0.0,35.0,0.0,2.0,0.0,36.0,14.1,9.0
