task,variant,trial,tool_calls,files_touched,lines_added,lines_removed,impl_loc,test_runs,success,wall_clock_s
slugify,bounded_efficiency,t1,5,6,5,2,10,1,PASS(8),14
slugify,baseline,1,5,7,5,5,6,2,PASS(8),2
slugify,bounded_efficiency,t2,5,6,5,2,7,1,PASS(8),14
slugify,exhaustive_exploration,t1,6,8,6,4,8,2,PASS(8),29
slugify,baseline,2,3,6,5,4,6,1,PASS(8),11
slugify,multiple_approaches,t1,7,1,18,5,16,2,PASS(8),45
csv_parser,bounded_efficiency,t1,5,7,25,2,24,1,PASS(8),16
slugify,exhaustive_exploration,t2,6,7,6,4,8,1,PASS(8),18
csv_parser,baseline,1,4,7,47,4,41,1,PASS(8),18
slugify,deep_thinking,t1,9,8,22,3,19,1,PASS(8),64
csv_parser,bounded_efficiency,t2,5,7,25,2,22,1,PASS(8),20
slugify,multiple_approaches,t2,6,1,11,5,13,1,PASS(8),24
csv_parser,baseline,2,3,7,47,4,41,1,PASS(8),14
csv_parser,exhaustive_exploration,t1,6,8,51,4,42,1,PASS(8),26
slugify,max_certainty,t1,18,9,21,1,23,2,PASS(8),79
rate_limiter,bounded_efficiency,t1,5,7,24,6,24,1,PASS(9),14
rate_limiter,baseline,1,4,7,30,8,30,1,PASS(9),14
csv_parser,exhaustive_exploration,t2,6,8,51,4,42,1,PASS(8),19
csv_parser,multiple_approaches,t1,6,1,35,5,38,1,PASS(8),25
rate_limiter,bounded_efficiency,t2,5,7,24,6,23,1,PASS(9),13
slugify,deep_thinking,t2,8,7,20,3,18,1,PASS(8),33
slugify,max_certainty,t2,15,8,21,1,23,2,PASS(8),26
rate_limiter,baseline,2,3,7,30,8,30,1,PASS(9),11
csv_parser,multiple_approaches,t2,5,1,34,5,34,1,PASS(8),17
rate_limiter,exhaustive_exploration,t1,7,9,29,5,29,2,PASS(9),28
rate_limiter,multiple_approaches,t1,6,1,29,5,34,1,PASS(9),25
csv_parser,deep_thinking,t1,8,8,118,3,93,1,PASS(8),39
rate_limiter,exhaustive_exploration,t2,7,8,29,5,29,1,PASS(9),21
csv_parser,max_certainty,t1,23,10,77,1,76,2,PASS(8),50
csv_parser,max_certainty,t2,19,9,77,1,76,2,PASS(8),25
rate_limiter,multiple_approaches,t2,7,1,37,5,44,2,PASS(9),43
csv_parser,deep_thinking,t2,7,8,98,3,86,1,PASS(8),14
rate_limiter,max_certainty,t1,25,10,36,3,35,2,PASS(9),46
rate_limiter,deep_thinking,t1,7,7,36,6,38,1,PASS(9),12
rate_limiter,max_certainty,t2,21,9,36,3,35,2,PASS(9),26
rate_limiter,deep_thinking,t2,7,8,35,6,37,1,PASS(9),30
